Time,DeploymentMode,UavIndex,UavCellId,XhaulRsrpDbm,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,AiBackhaulMode,AiMatchesRule,NormalUeHandoverAllowed
96.5,tn-uav-satellite,0,5,-67.6988,0,9.99186,5.47126,1,TN_DIRECT,TN_DIRECT,True,1
98.5,tn-uav-satellite,0,5,-64.0266,0,13.3941,8.87354,1,TN_DIRECT,TN_DIRECT,True,1
98.5,tn-uav-satellite,1,6,-62.2719,0,13.4602,8.93955,1,TN_DIRECT,TN_DIRECT,True,1
98.5,tn-uav-satellite,2,7,-54.4374,0,13.5821,9.06146,1,TN_DIRECT,TN_DIRECT,True,1
100.5,tn-uav-satellite,0,5,-63.5238,0,12.4309,7.91032,1,TN_DIRECT,TN_DIRECT,True,1
100.5,tn-uav-satellite,1,6,-61.4516,0,13.6243,9.10367,1,TN_DIRECT,TN_DIRECT,True,1
100.5,tn-uav-satellite,2,7,-51.5979,0,12.4207,7.90012,1,TN_DIRECT,TN_DIRECT,True,1
102.5,tn-uav-satellite,0,5,-67.7256,0,12.0038,7.48324,1,TN_DIRECT,TN_DIRECT,True,1
102.5,tn-uav-satellite,1,6,-60.758,0,9.42065,4.90005,1,TN_DIRECT,TN_DIRECT,True,1
102.5,tn-uav-satellite,2,7,-51.7793,0,14.1356,9.61498,1,TN_DIRECT,TN_DIRECT,True,1
104.5,tn-uav-satellite,2,7,-53.6383,0,13.7159,11.362,1,TN_DIRECT,TN_DIRECT,True,1
104.5,tn-uav-satellite,0,5,-66.7077,0,13.7159,9.60785,1,TN_DIRECT,TN_DIRECT,True,1
104.5,tn-uav-satellite,1,6,-61.6,0,9.43462,4.91402,1,TN_DIRECT,TN_DIRECT,True,1
106.5,tn-uav-satellite,0,5,-66.3575,0,12.471,7.95037,1,TN_DIRECT,TN_DIRECT,True,1
106.5,tn-uav-satellite,1,6,-66.1203,0,10.5635,6.0429,1,TN_DIRECT,TN_DIRECT,True,1
106.5,tn-uav-satellite,2,7,-50.3434,0,15.0124,10.4918,1,TN_DIRECT,TN_DIRECT,True,1
108.5,tn-uav-satellite,0,5,-67.1413,0,12.6566,8.13597,1,TN_DIRECT,TN_DIRECT,True,1
108.5,tn-uav-satellite,1,6,-66.5285,0,11.3214,6.80084,1,TN_DIRECT,TN_DIRECT,True,1
