Time,RecordType,UavIndex,UavCellId,CentroidIndex,CurrentEastM,CurrentNorthM,TargetEastM,TargetNorthM,DistanceToTargetM,ReachThresholdM,HasMovementAssignment,Arrived,NumMovementUes,NumCentroids
66,ASSIGN,1,6,0,-268.055,218.075,-394.413,203.787,127.164,1,1,0,7,3
66,ASSIGN,2,7,2,253.984,-274.385,90.9972,-359.513,183.879,1,1,0,7,3
67,ASSIGN,0,5,1,271.205,204.236,374.909,17.0065,214.031,1,1,0,8,3
67,ASSIGN,1,6,0,-282.959,216.39,-398.766,206.551,116.224,1,1,0,8,3
67,ASSIGN,2,7,2,240.689,-281.329,-69.6535,-327.888,313.816,1,1,0,8,3
68,ASSIGN,0,5,1,278.474,191.115,192.309,84.9616,136.722,1,1,0,4,3
68,ASSIGN,1,6,2,-297.905,215.12,-416.33,447.776,261.062,1,1,0,4,3
68,ASSIGN,2,7,0,225.856,-283.555,-388.866,-33.1476,663.767,1,1,0,4,3
69,ASSIGN,0,5,2,269.021,179.468,397.319,424.522,276.607,1,1,0,3,3
69,ASSIGN,1,6,1,-304.708,228.488,-419.974,366.684,179.957,1,1,0,3,3
69,ASSIGN,2,7,0,211.965,-277.896,-413.557,449.011,958.995,1,1,0,3,3
70,ASSIGN,0,5,0,275.979,192.757,393.802,10.8572,216.725,1,1,0,3,3
70,ASSIGN,1,6,1,-314.315,240.007,-410.06,448.197,229.151,1,1,0,3,3
70,ASSIGN,2,7,2,202.182,-266.526,393.37,422.24,714.809,1,1,0,3,3
71,ASSIGN,0,5,1,284.134,180.168,286.757,378.045,197.895,1,1,0,3,3
71,ASSIGN,1,6,2,-320.581,253.635,-406.568,446.572,211.231,1,1,0,3,3
71,ASSIGN,2,7,0,206.195,-252.073,399.516,11.9223,327.21,1,1,0,3,3
72,ASSIGN,0,5,2,284.334,195.166,410.456,-291.333,502.581,1,1,0,3,3
72,ASSIGN,1,6,1,-326.687,267.336,-402.147,446.138,194.073,1,1,0,3,3
72,ASSIGN,2,7,0,215.058,-239.971,-434.914,-100.456,664.777,1,1,0,3,3
73,ASSIGN,0,5,0,288.099,180.646,41.2826,304.162,275.997,1,1,0,3,3
73,ASSIGN,1,6,1,-332.519,281.156,-398.773,445.453,177.153,1,1,0,3,3
73,ASSIGN,2,7,2,200.393,-236.823,407.581,-293.774,214.873,1,1,0,3,3
74,ASSIGN,0,5,1,274.686,187.359,39.0317,307.738,264.621,1,1,0,3,3
74,ASSIGN,1,6,0,-338.129,295.067,-100.449,-340.084,678.166,1,1,0,3,3
74,ASSIGN,2,7,2,214.857,-240.798,404.21,-296.365,197.338,1,1,0,3,3
75,ASSIGN,0,5,0,261.328,194.183,39.7506,314.893,252.324,1,1,0,3,3
75,ASSIGN,1,6,2,-332.871,281.019,399.384,-297.648,933.302,1,1,0,3,3
75,ASSIGN,2,7,1,229.251,-245.022,410.853,-326.469,199.03,1,1,0,3,3
76,ASSIGN,0,5,1,248.157,201.359,38.3248,318.004,240.074,1,1,0,4,3
76,ASSIGN,1,6,0,-321.102,271.718,-428.993,-32.0168,322.328,1,1,0,4,3
76,ASSIGN,2,7,2,242.938,-251.16,404.211,-314.827,173.385,1,1,0,4,3
77,ASSIGN,0,5,1,235.047,208.647,339.393,318.536,151.538,1,1,0,4,3
77,ASSIGN,1,6,0,-326.122,257.583,39.4707,324.327,371.635,1,1,0,4,3
77,ASSIGN,2,7,2,256.89,-256.668,402.144,-318.073,157.7,1,1,0,4,3
78,ASSIGN,0,5,1,245.377,219.524,391.804,-291.633,531.716,1,1,0,4,3
78,ASSIGN,1,6,0,-311.365,260.277,-248.43,-351.979,615.483,1,1,0,4,3
78,ASSIGN,2,7,2,270.708,-262.509,408.974,-337.834,157.453,1,1,0,4,3
79,ASSIGN,0,5,1,249.508,205.104,360.296,402.593,226.442,1,1,0,5,3
79,ASSIGN,1,6,0,-309.831,245.356,-251.832,-357.495,605.635,1,1,0,5,3
79,ASSIGN,2,7,2,283.88,-269.685,398.503,-324.267,126.955,1,1,0,5,3
80,ASSIGN,0,5,1,256.848,218.186,359.766,403.927,212.348,1,1,0,5,3
80,ASSIGN,1,6,0,-308.394,230.425,80.0126,-367.611,713.097,1,1,0,5,3
80,ASSIGN,2,7,2,297.424,-276.134,395.543,-327.569,110.783,1,1,0,5,3
81,ASSIGN,0,5,1,264.119,231.307,375.445,393.822,196.989,1,1,0,3,3
81,ASSIGN,1,6,2,-300.224,217.845,343.074,416.18,673.178,1,1,0,3,3
81,ASSIGN,2,7,0,310.71,-283.098,80.2681,-373.759,247.635,1,1,0,3,3
82,ASSIGN,0,5,2,272.597,243.682,361.712,300.813,105.856,1,1,0,4,3
82,ASSIGN,1,6,1,-285.888,222.265,80.6282,-378.906,704.088,1,1,0,4,3
82,ASSIGN,2,7,0,296.752,-288.59,451.993,28.5377,353.086,1,1,0,4,3
83,ASSIGN,0,5,2,285.225,251.777,360.653,303.656,91.5466,1,1,0,4,3
83,ASSIGN,1,6,0,-278.079,209.457,173.485,-390.996,751.301,1,1,0,4,3
83,ASSIGN,2,7,1,303.347,-275.117,455.231,31.6609,342.318,1,1,0,4,3
84,ASSIGN,0,5,2,297.584,260.278,330.868,416.193,159.428,1,1,0,3,3
84,ASSIGN,1,6,1,-269.063,197.469,-469.199,-30.0558,303.021,1,1,0,3,3
84,ASSIGN,2,7,0,310.003,-261.675,460.76,32.3604,330.431,1,1,0,3,3
85,ASSIGN,0,5,2,300.717,274.947,326.685,417.044,144.45,1,1,0,3,3
85,ASSIGN,1,6,0,-278.969,186.206,-473.895,-29.0714,290.415,1,1,0,3,3
85,ASSIGN,2,7,1,316.847,-248.327,74.1227,-429.796,303.062,1,1,0,3,3
86,ASSIGN,0,5,1,303.414,289.703,-261.525,426.065,581.163,1,1,0,6,3
86,ASSIGN,1,6,0,-289.036,175.087,-491.206,-73.4016,320.342,1,1,0,6,3
86,ASSIGN,2,7,2,304.834,-257.309,76.1543,-434.442,289.259,1,1,0,6,3
87,ASSIGN,0,5,1,288.834,293.222,-248.598,410.671,550.116,1,1,0,10,2
87,ASSIGN,1,6,0,-298.502,163.452,-249.554,-308.085,474.071,1,1,0,10,2
88,ASSIGN,0,5,1,274.18,296.425,-207.552,426.087,498.877,1,1,0,8,2
88,ASSIGN,1,6,0,-296.953,148.532,-307.562,-289.657,438.317,1,1,0,8,2
89,ASSIGN,1,6,0,-297.316,133.536,-304.974,-93.2669,226.932,1,1,0,10,1
