t_dec,ueId,cell,HO_next,ueSinrDb,eveSinrDb,secrecy,outage,ueSinrDb_prev,secrecy_prev,outage_prev,d_ueSinrDb,d_secrecy
22.0,8,3,0,22.5035,-4.54146,7.04907,0,16.0366,0.645296,0.0,6.466899999999999,6.403774
24.0,8,3,0,24.941,16.2739,2.85015,0,22.5035,7.04907,0.0,2.4375,-4.19892
26.0,8,3,0,29.7866,23.5317,2.07294,0,24.941,2.85015,0.0,4.845600000000001,-0.7772100000000002
28.0,8,3,0,7.84484,12.8537,0.0,1,29.7866,2.07294,0.0,-21.941760000000002,-2.07294
30.0,8,3,0,33.4376,18.2506,5.02425,0,7.84484,0.0,1.0,25.592760000000006,5.02425
32.0,8,3,0,32.7396,13.0128,6.48354,0,33.4376,5.02425,0.0,-0.6980000000000004,1.4592899999999993
34.0,8,3,0,35.4339,14.4039,6.93503,0,32.7396,6.48354,0.0,2.6942999999999984,0.4514900000000006
36.0,8,3,0,27.6851,6.48396,6.75288,0,35.4339,6.93503,0.0,-7.748800000000003,-0.18215000000000003
4.0,9,8,0,-5.07187,14.157,0.0,1,5.1918,2.03422,0.0,-10.26367,-2.03422
6.0,9,8,0,13.6546,0.591736,3.49523,0,-5.07187,0.0,1.0,18.72647,3.49523
8.0,9,8,0,-4.20294,2.32658,0.0,1,13.6546,3.49523,0.0,-17.85754,-3.49523
10.0,9,8,0,3.32914,-2.15412,0.970302,0,-4.20294,0.0,1.0,7.5320800000000006,0.970302
12.0,9,8,0,-7.017,-2.68615,0.0,1,3.32914,0.970302,0.0,-10.34614,-0.970302
14.0,9,8,0,-4.76876,-5.41236,0.0505751,1,-7.017,0.0,1.0,2.24824,0.0505751
16.0,9,8,0,-6.40404,8.21419,0.0,1,-4.76876,0.0505751,1.0,-1.6352799999999998,-0.0505751
18.0,9,8,0,-8.58045,2.07675,0.0,1,-6.40404,0.0,1.0,-2.1764100000000006,0.0
20.0,9,8,1,-1.69738,15.0795,0.0,1,-8.58045,0.0,1.0,6.883070000000001,0.0
22.0,9,9,0,8.88687,-100.0,3.12747,0,-1.69738,0.0,1.0,10.58425,3.12747
24.0,9,9,0,3.53794,-100.0,1.70415,0,8.88687,3.12747,0.0,-5.34893,-1.4233200000000001
26.0,9,9,0,12.2611,-100.0,4.15633,0,3.53794,1.70415,0.0,8.72316,2.4521799999999994
28.0,9,9,0,12.3675,-100.0,4.18969,0,12.2611,4.15633,0.0,0.10639999999999894,0.033360000000000056
30.0,9,9,0,25.1019,-100.0,8.34313,0,12.3675,4.18969,0.0,12.7344,4.153440000000001
32.0,9,9,0,-7.97637,-100.0,0.213321,0,25.1019,8.34313,0.0,-33.07827,-8.129809
34.0,9,9,0,21.7937,-100.0,7.24924,0,-7.97637,0.213321,0.0,29.77007,7.035919000000001
36.0,9,9,0,-0.447053,-100.0,0.927656,0,21.7937,7.24924,0.0,-22.240753,-6.3215840000000005
4.0,10,10,0,11.3583,3.00387,2.29146,0,4.68139,0.0,1.0,6.6769099999999995,2.29146
6.0,10,10,0,4.6585,17.3763,0.0,1,11.3583,2.29146,0.0,-6.6998,-2.29146
8.0,10,10,0,10.2762,22.725,0.0,1,4.6585,0.0,1.0,5.617699999999999,0.0
10.0,10,10,0,1.83704,24.7825,0.0,1,10.2762,0.0,1.0,-8.43916,0.0
