t_dec,ueId,cell,HO_next,ueSinrDb,eveSinrDb,secrecy,outage,ueSinrDb_prev,secrecy_prev,outage_prev,d_ueSinrDb,d_secrecy
8.0,8,10,0,28.3277,-100.0,9.41238,0,15.5527,5.20612,0.0,12.775,4.20626
10.0,8,10,0,53.1942,-100.0,17.6707,0,28.3277,9.41238,0.0,24.866500000000002,8.25832
12.0,8,10,0,47.9568,-100.0,15.9309,0,53.1942,17.6707,0.0,-5.237400000000001,-1.7398000000000007
14.0,8,10,0,15.2554,-100.0,5.11013,0,47.9568,15.9309,0.0,-32.7014,-10.82077
16.0,8,10,0,40.2401,-100.0,13.3676,0,15.2554,5.11013,0.0,24.984699999999997,8.25747
18.0,8,10,0,45.9795,-100.0,15.2741,0,40.2401,13.3676,0.0,5.739400000000003,1.9065000000000012
20.0,8,10,0,36.5291,-100.0,12.135,0,45.9795,15.2741,0.0,-9.450400000000002,-3.139100000000001
22.0,8,10,0,52.8363,-100.0,17.5519,0,36.5291,12.135,0.0,16.3072,5.4169
24.0,8,10,0,26.6155,-100.0,8.8446,0,52.8363,17.5519,0.0,-26.2208,-8.7073
26.0,8,10,0,25.7009,-100.0,8.54153,0,26.6155,8.8446,0.0,-0.9146000000000001,-0.30306999999999995
28.0,8,10,0,26.8613,-100.0,8.9261,0,25.7009,8.54153,0.0,1.1603999999999992,0.3845700000000001
30.0,8,10,0,12.3183,-100.0,4.17427,0,26.8613,8.9261,0.0,-14.543,-4.75183
32.0,8,10,0,54.0623,-100.0,17.9591,0,12.3183,4.17427,0.0,41.744,13.78483
34.0,8,10,0,14.9918,-100.0,5.02516,0,54.0623,17.9591,0.0,-39.0705,-12.93394
36.0,8,10,0,28.0969,-100.0,9.33582,0,14.9918,5.02516,0.0,13.105100000000002,4.31066
4.0,9,6,0,8.28242,-100.0,2.95112,0,-1.27496,0.80372,0.0,9.55738,2.1474
6.0,9,6,0,8.70961,-100.0,3.07545,0,8.28242,2.95112,0.0,0.4271899999999995,0.12433000000000005
8.0,9,6,0,7.66958,-100.0,2.77554,0,8.70961,3.07545,0.0,-1.0400299999999998,-0.2999100000000001
10.0,9,6,0,7.61527,-100.0,2.76015,0,7.66958,2.77554,0.0,-0.05431000000000008,-0.015390000000000015
12.0,9,6,0,8.34037,-100.0,2.9679,0,7.61527,2.76015,0.0,0.7251000000000003,0.20775000000000032
14.0,9,6,0,9.62986,-100.0,3.3481,0,8.34037,2.9679,0.0,1.2894900000000007,0.38019999999999987
16.0,9,6,0,11.8865,-100.0,4.03915,0,9.62986,3.3481,0.0,2.256639999999999,0.6910500000000002
18.0,9,6,0,11.1472,-100.0,3.80976,0,11.8865,4.03915,0.0,-0.7393000000000001,-0.22939000000000043
20.0,9,6,0,9.69832,-100.0,3.36862,0,11.1472,3.80976,0.0,-1.448879999999999,-0.44113999999999987
22.0,9,6,0,12.8676,-100.0,4.34719,0,9.69832,3.36862,0.0,3.1692799999999988,0.9785700000000004
24.0,9,6,0,11.1379,-100.0,3.80688,0,12.8676,4.34719,0.0,-1.7296999999999993,-0.5403100000000003
26.0,9,6,0,-18.0584,-100.0,0.022385,1,11.1379,3.80688,0.0,-29.1963,-3.784495
28.0,9,6,0,11.6748,-100.0,3.9732,0,-18.0584,0.022385,1.0,29.733199999999997,3.950815
30.0,9,6,0,7.04168,-100.0,2.59937,0,11.6748,3.9732,0.0,-4.633119999999999,-1.3738299999999999
32.0,9,6,0,10.1411,-100.0,3.50212,0,7.04168,2.59937,0.0,3.0994199999999994,0.9027500000000002
34.0,9,6,0,11.3453,-100.0,3.87097,0,10.1411,3.50212,0.0,1.2042000000000002,0.3688499999999997
36.0,9,6,0,9.44484,-100.0,3.29279,0,11.3453,3.87097,0.0,-1.9004600000000007,-0.5781799999999997
4.0,10,4,0,-0.606616,-100.0,0.902759,0,-11.1093,0.107631,0.0,10.502683999999999,0.795128
6.0,10,4,0,-1.80062,-100.0,0.731705,0,-0.606616,0.902759,0.0,-1.194004,-0.17105399999999993
8.0,10,4,0,-0.315082,-100.0,0.948615,0,-1.80062,0.731705,0.0,1.485538,0.21690999999999994
10.0,10,4,0,0.149239,-100.0,1.025,0,-0.315082,0.948615,0.0,0.464321,0.07638499999999993
12.0,10,4,0,1.93888,-100.0,1.35769,0,0.149239,1.025,0.0,1.789641,0.33269000000000015
14.0,10,4,0,2.27462,-100.0,1.42672,0,1.93888,1.35769,0.0,0.33574000000000015,0.06902999999999992
16.0,10,4,0,-2.2763,-100.0,0.670899,0,2.27462,1.42672,0.0,-4.55092,-0.755821
18.0,10,4,0,4.28269,-100.0,1.88003,0,-2.2763,0.670899,0.0,6.55899,1.2091310000000002
20.0,10,4,0,-2.91546,-100.0,0.595541,0,4.28269,1.88003,0.0,-7.19815,-1.2844890000000002
22.0,10,4,0,0.195976,-100.0,1.03292,0,-2.91546,0.595541,0.0,3.111436,0.4373790000000001
24.0,10,4,0,-0.00445634,-100.0,0.99926,0,0.195976,1.03292,0.0,-0.20043234000000001,-0.03366000000000002
26.0,10,4,0,4.23878,-100.0,1.86942,0,-0.00445634,0.99926,0.0,4.24323634,0.87016
28.0,10,4,0,2.93768,-100.0,1.56893,0,4.23878,1.86942,0.0,-1.3011000000000004,-0.30049000000000015
30.0,10,4,0,1.73989,-100.0,1.31774,0,2.93768,1.56893,0.0,-1.19779,-0.25119
32.0,10,4,0,5.34348,-100.0,2.14487,0,1.73989,1.31774,0.0,3.6035899999999996,0.8271300000000001
34.0,10,4,0,6.83172,-100.0,2.54136,0,5.34348,2.14487,0.0,1.4882400000000002,0.39649
36.0,10,4,0,-20.2766,-100.0,0.0134737,1,6.83172,2.54136,0.0,-27.10832,-2.5278863
4.0,11,4,0,0.985719,-100.0,1.17299,0,-2.49223,0.644639,0.0,3.477949,0.528351
6.0,11,4,0,0.0837075,-100.0,1.01397,0,0.985719,1.17299,0.0,-0.9020115,-0.15901999999999994
8.0,11,4,0,-28.7997,-100.0,0.00190072,1,0.0837075,1.01397,0.0,-28.8834075,-1.01206928
10.0,11,4,0,-2.43035,-100.0,0.65208,0,-28.7997,0.00190072,1.0,26.36935,0.65017928
12.0,11,4,0,-30.3566,-100.0,0.00132835,1,-2.43035,0.65208,0.0,-27.92625,-0.65075165
14.0,11,4,0,1.16205,-100.0,1.20588,0,-30.3566,0.00132835,1.0,31.51865,1.20455165
16.0,11,4,0,1.57354,-100.0,1.28491,0,1.16205,1.20588,0.0,0.4114899999999999,0.07902999999999993
18.0,11,4,0,-7.04855,-100.0,0.259794,0,1.57354,1.28491,0.0,-8.62209,-1.025116
20.0,11,4,1,-5.73483,-100.0,0.341421,0,-7.04855,0.259794,0.0,1.31372,0.08162699999999995
22.0,11,1,0,-4.22809,-11.8102,0.370211,0,-5.73483,0.341421,0.0,1.5067399999999997,0.028790000000000038
24.0,11,1,0,-53.8096,-11.4869,0.0,1,-4.22809,0.370211,0.0,-49.58151,-0.370211
26.0,11,1,0,-8.2551,-12.023,0.113123,0,-53.8096,0.0,1.0,45.554500000000004,0.113123
28.0,11,1,0,-8.27488,-9.24575,0.0379216,1,-8.2551,0.113123,0.0,-0.01977999999999902,-0.0752014
30.0,11,1,0,23.4484,-13.4416,7.73201,0,-8.27488,0.0379216,1.0,31.72328,7.6940884
32.0,11,1,0,-13.5051,-14.9665,0.0177153,1,23.4484,7.73201,0.0,-36.9535,-7.7142947
34.0,11,1,0,-14.4711,-10.7193,0.0,1,-13.5051,0.0177153,1.0,-0.9659999999999993,-0.0177153
36.0,11,1,0,-3.87843,-16.6855,0.464469,0,-14.4711,0.0,1.0,10.59267,0.464469
4.0,12,6,0,12.47,-100.0,4.22192,0,10.2215,3.52647,0.0,2.2485,0.6954499999999997
6.0,12,6,0,17.4099,-100.0,5.80939,0,12.47,4.22192,0.0,4.9399,1.5874699999999997
8.0,12,6,0,12.0727,-100.0,4.09732,0,17.4099,5.80939,0.0,-5.337200000000001,-1.7120699999999998
10.0,12,6,0,18.0822,-100.0,6.02903,0,12.0727,4.09732,0.0,6.009500000000001,1.9317099999999998
12.0,12,6,0,51.2963,-100.0,17.0403,0,18.0822,6.02903,0.0,33.2141,11.01127
14.0,12,6,0,26.3907,-100.0,8.77013,0,51.2963,17.0403,0.0,-24.905600000000003,-8.270169999999998
16.0,12,6,0,27.0649,-100.0,8.99359,0,26.3907,8.77013,0.0,0.6742000000000026,0.22345999999999933
18.0,12,6,0,23.5744,-100.0,7.83757,0,27.0649,8.99359,0.0,-3.490500000000001,-1.156019999999999
20.0,12,6,0,29.038,-100.0,9.64802,0,23.5744,7.83757,0.0,5.4636,1.8104500000000003
