Time,DeploymentMode,UavIndex,UavCellId,XhaulRsrpDbm,RawXhaulState,RawXhaulStateAgeSec,XhaulState,DonorUnavailableActive,SatBackhaulDlSnrDb,SatBackhaulUlSnrDb,SatBackhaulHealthy,BackhaulMode,AiBackhaulMode,AiMatchesRule,NormalUeHandoverAllowed
40.5,tn-uav-satellite,0,5,-73.5935,HEALTHY,36,HEALTHY,0,11.048,6.52741,1,TN_DIRECT,TN_DIRECT,True,1
40.5,tn-uav-satellite,1,6,-109.452,UNREACHABLE,36,UNREACHABLE,0,12.1914,7.67082,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
40.5,tn-uav-satellite,2,7,-108.863,UNREACHABLE,28,UNREACHABLE,0,15.2219,10.7013,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
42.5,tn-uav-satellite,0,5,-69.9442,HEALTHY,38,HEALTHY,0,10.7236,6.20304,1,TN_DIRECT,TN_DIRECT,True,1
42.5,tn-uav-satellite,1,6,-111.669,UNREACHABLE,38,UNREACHABLE,0,11.7303,7.20972,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
42.5,tn-uav-satellite,2,7,-109.273,UNREACHABLE,30,UNREACHABLE,0,10.9512,6.43061,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
44.5,tn-uav-satellite,0,5,-69.9824,HEALTHY,40,HEALTHY,0,10.9469,6.42627,1,TN_DIRECT,TN_DIRECT,True,1
44.5,tn-uav-satellite,1,6,-113.7,UNREACHABLE,40,UNREACHABLE,0,13.8665,9.34587,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
44.5,tn-uav-satellite,2,7,-115.432,UNREACHABLE,32,UNREACHABLE,0,13.7495,9.2289,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
46.5,tn-uav-satellite,2,7,-109.524,UNREACHABLE,34,UNREACHABLE,0,11.3849,6.86427,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
46.5,tn-uav-satellite,1,6,-118.51,UNREACHABLE,42,UNREACHABLE,0,13.2639,8.74335,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
46.5,tn-uav-satellite,0,5,-66.812,HEALTHY,42,HEALTHY,0,11.0857,6.56515,1,TN_DIRECT,TN_DIRECT,True,1
48.5,tn-uav-satellite,0,5,-68.2078,HEALTHY,44,HEALTHY,0,11.8099,7.28928,1,TN_DIRECT,TN_DIRECT,True,1
48.5,tn-uav-satellite,1,6,-113.463,UNREACHABLE,44,UNREACHABLE,0,12.2406,7.72002,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
48.5,tn-uav-satellite,2,7,-110.969,UNREACHABLE,36,UNREACHABLE,0,12.7295,8.20887,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
50.5,tn-uav-satellite,0,5,-63.8536,HEALTHY,46,HEALTHY,0,13.3351,8.81451,1,TN_DIRECT,TN_DIRECT,True,1
50.5,tn-uav-satellite,1,6,-115.394,UNREACHABLE,46,UNREACHABLE,0,13.6362,9.11556,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
50.5,tn-uav-satellite,2,7,-116.42,UNREACHABLE,38,UNREACHABLE,0,14.3266,9.80601,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
52.5,tn-uav-satellite,1,6,-116.885,UNREACHABLE,48,UNREACHABLE,0,10.7044,6.18376,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
52.5,tn-uav-satellite,0,5,-63.4049,HEALTHY,48,HEALTHY,0,13.0954,8.57482,1,TN_DIRECT,TN_DIRECT,True,1
52.5,tn-uav-satellite,2,7,-118.263,UNREACHABLE,40,UNREACHABLE,0,12.5253,8.00473,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
54.5,tn-uav-satellite,0,5,-64.0251,HEALTHY,50,HEALTHY,0,14.9688,10.4482,1,TN_DIRECT,TN_DIRECT,True,1
54.5,tn-uav-satellite,1,6,-115.97,UNREACHABLE,50,UNREACHABLE,0,12.2666,7.746,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
54.5,tn-uav-satellite,2,7,-115.857,UNREACHABLE,42,UNREACHABLE,0,14.417,9.89639,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
56.5,tn-uav-satellite,1,6,-117.041,UNREACHABLE,52,UNREACHABLE,0,13.3222,8.80163,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
56.5,tn-uav-satellite,2,7,-114.922,UNREACHABLE,44,UNREACHABLE,0,12.0532,7.53264,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
56.5,tn-uav-satellite,0,5,-69.7511,HEALTHY,52,HEALTHY,0,11.8951,7.3745,1,TN_DIRECT,TN_DIRECT,True,1
58.5,tn-uav-satellite,1,6,-117.063,UNREACHABLE,54,UNREACHABLE,0,8.74477,4.22417,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
58.5,tn-uav-satellite,2,7,-116.722,UNREACHABLE,46,UNREACHABLE,0,10.8035,6.28292,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
58.5,tn-uav-satellite,0,5,-69.5934,HEALTHY,54,HEALTHY,0,10.0755,5.55486,1,TN_DIRECT,TN_DIRECT,True,1
60.5,tn-uav-satellite,1,6,-119.801,UNREACHABLE,56,UNREACHABLE,0,11.8269,7.30629,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
60.5,tn-uav-satellite,2,7,-115.593,UNREACHABLE,48,UNREACHABLE,0,13.476,8.95543,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
60.5,tn-uav-satellite,0,5,-65.9422,HEALTHY,56,HEALTHY,0,9.39292,4.87232,1,TN_DIRECT,TN_DIRECT,True,1
62.5,tn-uav-satellite,0,5,-66.6805,HEALTHY,58,HEALTHY,0,10.9058,6.38522,1,TN_DIRECT,TN_DIRECT,True,1
62.5,tn-uav-satellite,1,6,-117.251,UNREACHABLE,58,UNREACHABLE,0,11.7743,7.25373,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
62.5,tn-uav-satellite,2,7,-113.167,UNREACHABLE,50,UNREACHABLE,0,15.1482,10.6276,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
64.5,tn-uav-satellite,0,5,-62.1806,HEALTHY,60,HEALTHY,0,12.8514,8.33078,1,TN_DIRECT,TN_DIRECT,True,1
64.5,tn-uav-satellite,1,6,-118.978,UNREACHABLE,60,UNREACHABLE,0,6.7902,2.2696,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
64.5,tn-uav-satellite,2,7,-114.859,UNREACHABLE,52,UNREACHABLE,0,10.2751,5.75449,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
66.5,tn-uav-satellite,1,6,-116.356,UNREACHABLE,62,UNREACHABLE,0,13.8162,9.29563,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
66.5,tn-uav-satellite,2,7,-113.944,UNREACHABLE,54,UNREACHABLE,0,13.9204,9.39976,1,SATELLITE_FALLBACK,SATELLITE_FALLBACK,True,1
66.5,tn-uav-satellite,0,5,-70.3722,HEALTHY,62,HEALTHY,0,15.4384,10.9178,1,TN_DIRECT,TN_DIRECT,True,1
68.5,tn-uav-satellite,0,5,-71.055,HEALTHY,64,HEALTHY,0,14.0861,9.56555,1,TN_DIRECT,TN_DIRECT,True,1
